brightness_ratio_species2_to_species1,replicate,method,mean_nrmse,condition_number
1.0,0,FE calibrated NNLS,0.09871724670303723,5.596612330195987
1.0,0,Emission-filtered NNLS,0.5304335774868156,10.403882032022066
1.0,1,FE calibrated NNLS,0.09749050600607714,5.596612330195987
1.0,1,Emission-filtered NNLS,0.5266546193693982,10.403882032022066
1.0,2,FE calibrated NNLS,0.10058474005762558,5.596612330195987
1.0,2,Emission-filtered NNLS,0.5295451263679352,10.403882032022066
1.0,3,FE calibrated NNLS,0.09898118023888675,5.596612330195987
1.0,3,Emission-filtered NNLS,0.5333300366061096,10.403882032022066
2.0,0,FE calibrated NNLS,0.08069104583811708,5.596612330195987
2.0,0,Emission-filtered NNLS,0.45797168104276575,10.403882032022066
2.0,1,FE calibrated NNLS,0.08323161980220285,5.596612330195987
2.0,1,Emission-filtered NNLS,0.45858556154215147,10.403882032022066
2.0,2,FE calibrated NNLS,0.08200012103629428,5.596612330195987
2.0,2,Emission-filtered NNLS,0.4583839916199299,10.403882032022066
2.0,3,FE calibrated NNLS,0.08287158667594455,5.596612330195987
2.0,3,Emission-filtered NNLS,0.4631384523874812,10.403882032022066
5.0,0,FE calibrated NNLS,0.083498951513363,5.596612330195987
5.0,0,Emission-filtered NNLS,0.39928149262839735,10.403882032022066
5.0,1,FE calibrated NNLS,0.08063292923033036,5.596612330195987
5.0,1,Emission-filtered NNLS,0.3976544893840417,10.403882032022066
5.0,2,FE calibrated NNLS,0.08380089912118206,5.596612330195987
5.0,2,Emission-filtered NNLS,0.3944819046446675,10.403882032022066
5.0,3,FE calibrated NNLS,0.08226880776442423,5.596612330195987
5.0,3,Emission-filtered NNLS,0.3896690696921843,10.403882032022066
10.0,0,FE calibrated NNLS,0.09440797716227271,5.596612330195987
10.0,0,Emission-filtered NNLS,0.38203966135125567,10.403882032022066
10.0,1,FE calibrated NNLS,0.09460858478756275,5.596612330195987
10.0,1,Emission-filtered NNLS,0.38904429827319015,10.403882032022066
10.0,2,FE calibrated NNLS,0.10004092994895886,5.596612330195987
10.0,2,Emission-filtered NNLS,0.3819105546750913,10.403882032022066
10.0,3,FE calibrated NNLS,0.09587753453768313,5.596612330195987
10.0,3,Emission-filtered NNLS,0.38840040880127774,10.403882032022066
20.0,0,FE calibrated NNLS,0.1223193134377296,5.596612330195987
20.0,0,Emission-filtered NNLS,0.38559306341816735,10.403882032022066
20.0,1,FE calibrated NNLS,0.12214510338031222,5.596612330195987
20.0,1,Emission-filtered NNLS,0.38236349072408365,10.403882032022066
20.0,2,FE calibrated NNLS,0.11959189156049084,5.596612330195987
20.0,2,Emission-filtered NNLS,0.3752538219955047,10.403882032022066
20.0,3,FE calibrated NNLS,0.12237317365315097,5.596612330195987
20.0,3,Emission-filtered NNLS,0.3814513108791239,10.403882032022066
50.0,0,FE calibrated NNLS,0.17460169372611056,5.596612330195987
50.0,0,Emission-filtered NNLS,0.3855826520989908,10.403882032022066
50.0,1,FE calibrated NNLS,0.16998663805362613,5.596612330195987
50.0,1,Emission-filtered NNLS,0.38982751757044715,10.403882032022066
50.0,2,FE calibrated NNLS,0.17482605020947434,5.596612330195987
50.0,2,Emission-filtered NNLS,0.38978050563608263,10.403882032022066
50.0,3,FE calibrated NNLS,0.17740584429115067,5.596612330195987
50.0,3,Emission-filtered NNLS,0.3880965070429519,10.403882032022066
