background_counts_per_sample,replicate,method,mean_nrmse,condition_number
0.0,0,FE calibrated NNLS,0.09760386778395644,5.5966123301959865
0.0,0,Emission-filtered NNLS,0.5155698401045222,10.403882032022068
0.0,1,FE calibrated NNLS,0.10129205842232764,5.5966123301959865
0.0,1,Emission-filtered NNLS,0.5085417680340183,10.403882032022068
0.0,2,FE calibrated NNLS,0.09663888628506254,5.5966123301959865
0.0,2,Emission-filtered NNLS,0.5119087453487629,10.403882032022068
0.0,3,FE calibrated NNLS,0.10054161248959709,5.5966123301959865
0.0,3,Emission-filtered NNLS,0.5143240898808905,10.403882032022068
0.0,4,FE calibrated NNLS,0.09786028738048574,5.5966123301959865
0.0,4,Emission-filtered NNLS,0.520906328613839,10.403882032022068
0.0,5,FE calibrated NNLS,0.09863273094247832,5.5966123301959865
0.0,5,Emission-filtered NNLS,0.508340632373262,10.403882032022068
0.02,0,FE calibrated NNLS,0.09922562733021681,5.5966123301959865
0.02,0,Emission-filtered NNLS,0.5217532103104375,10.403882032022068
0.02,1,FE calibrated NNLS,0.09801411921649972,5.5966123301959865
0.02,1,Emission-filtered NNLS,0.5215016674413686,10.403882032022068
0.02,2,FE calibrated NNLS,0.09692798359816288,5.5966123301959865
0.02,2,Emission-filtered NNLS,0.5179076237095115,10.403882032022068
0.02,3,FE calibrated NNLS,0.09869001412694564,5.5966123301959865
0.02,3,Emission-filtered NNLS,0.5259654429233893,10.403882032022068
0.02,4,FE calibrated NNLS,0.09936214243146893,5.5966123301959865
0.02,4,Emission-filtered NNLS,0.5217613262162555,10.403882032022068
0.02,5,FE calibrated NNLS,0.09771183437501559,5.5966123301959865
0.02,5,Emission-filtered NNLS,0.5241123300156129,10.403882032022068
0.08,0,FE calibrated NNLS,0.10036458858431199,5.5966123301959865
0.08,0,Emission-filtered NNLS,0.5385113494440528,10.403882032022068
0.08,1,FE calibrated NNLS,0.09893401497460012,5.5966123301959865
0.08,1,Emission-filtered NNLS,0.5382631356140999,10.403882032022068
0.08,2,FE calibrated NNLS,0.10110769529147878,5.5966123301959865
0.08,2,Emission-filtered NNLS,0.5529194994377366,10.403882032022068
0.08,3,FE calibrated NNLS,0.0990848486780216,5.5966123301959865
0.08,3,Emission-filtered NNLS,0.5444635319371874,10.403882032022068
0.08,4,FE calibrated NNLS,0.09866396689920359,5.5966123301959865
0.08,4,Emission-filtered NNLS,0.5467808810724191,10.403882032022068
0.08,5,FE calibrated NNLS,0.09954715147807376,5.5966123301959865
0.08,5,Emission-filtered NNLS,0.550426543437422,10.403882032022068
0.25,0,FE calibrated NNLS,0.10214866764304895,5.5966123301959865
0.25,0,Emission-filtered NNLS,0.5879186380848298,10.403882032022068
0.25,1,FE calibrated NNLS,0.10429943530828677,5.5966123301959865
0.25,1,Emission-filtered NNLS,0.5884184488515789,10.403882032022068
0.25,2,FE calibrated NNLS,0.10397616795456019,5.5966123301959865
0.25,2,Emission-filtered NNLS,0.5877477055672282,10.403882032022068
0.25,3,FE calibrated NNLS,0.10377134041596145,5.5966123301959865
0.25,3,Emission-filtered NNLS,0.5796822471147176,10.403882032022068
0.25,4,FE calibrated NNLS,0.10525127563694515,5.5966123301959865
0.25,4,Emission-filtered NNLS,0.5834568583090161,10.403882032022068
0.25,5,FE calibrated NNLS,0.10354247043895086,5.5966123301959865
0.25,5,Emission-filtered NNLS,0.583703888019317,10.403882032022068
0.8,0,FE calibrated NNLS,0.11518766151400026,5.5966123301959865
0.8,0,Emission-filtered NNLS,0.6343578790258011,10.403882032022068
0.8,1,FE calibrated NNLS,0.1184582718737126,5.5966123301959865
0.8,1,Emission-filtered NNLS,0.6348862729520448,10.403882032022068
0.8,2,FE calibrated NNLS,0.11806011601620964,5.5966123301959865
0.8,2,Emission-filtered NNLS,0.6311633349964337,10.403882032022068
0.8,3,FE calibrated NNLS,0.11849729976799861,5.5966123301959865
0.8,3,Emission-filtered NNLS,0.6354515113959978,10.403882032022068
0.8,4,FE calibrated NNLS,0.11549376009800229,5.5966123301959865
0.8,4,Emission-filtered NNLS,0.6369868836667966,10.403882032022068
0.8,5,FE calibrated NNLS,0.11772964800373709,5.5966123301959865
0.8,5,Emission-filtered NNLS,0.6343030145646301,10.403882032022068
2.0,0,FE calibrated NNLS,0.13999081181770676,5.5966123301959865
2.0,0,Emission-filtered NNLS,0.6680319037944265,10.403882032022068
2.0,1,FE calibrated NNLS,0.13983689816121195,5.5966123301959865
2.0,1,Emission-filtered NNLS,0.6686263591066226,10.403882032022068
2.0,2,FE calibrated NNLS,0.13811947126023782,5.5966123301959865
2.0,2,Emission-filtered NNLS,0.6650465556593429,10.403882032022068
2.0,3,FE calibrated NNLS,0.14250932492114443,5.5966123301959865
2.0,3,Emission-filtered NNLS,0.6696618978434232,10.403882032022068
2.0,4,FE calibrated NNLS,0.14028672579764445,5.5966123301959865
2.0,4,Emission-filtered NNLS,0.6687888361033658,10.403882032022068
2.0,5,FE calibrated NNLS,0.14180549268921894,5.5966123301959865
2.0,5,Emission-filtered NNLS,0.6684343813340358,10.403882032022068
