emission_signature_similarity,replicate,method,mean_nrmse,condition_number
0.5,3,Emission-filtered NNLS,0.62927835433583,20.45110288155153
0.5,4,FE calibrated NNLS,0.09950278684489816,5.5966123301959865
0.5,4,Emission-filtered NNLS,0.6295450654782102,20.45110288155153
0.5,5,FE calibrated NNLS,0.09964922193846075,5.5966123301959865
0.5,5,Emission-filtered NNLS,0.6297290948703047,20.45110288155153
0.75,0,FE calibrated NNLS,0.09930543024574894,5.5966123301959865
0.75,0,Emission-filtered NNLS,0.6732986630314508,40.62538484856887
0.75,1,FE calibrated NNLS,0.09496596971363663,5.5966123301959865
0.75,1,Emission-filtered NNLS,0.6729397027842632,40.62538484856887
0.75,2,FE calibrated NNLS,0.10179240468779294,5.5966123301959865
0.75,2,Emission-filtered NNLS,0.6721976514418638,40.62538484856887
0.75,3,FE calibrated NNLS,0.09904433916220384,5.5966123301959865
0.75,3,Emission-filtered NNLS,0.6754508196147767,40.62538484856887
0.75,4,FE calibrated NNLS,0.09595334439120438,5.5966123301959865
0.75,4,Emission-filtered NNLS,0.6756766876509253,40.62538484856887
0.75,5,FE calibrated NNLS,0.09824257412879916,5.5966123301959865
0.75,5,Emission-filtered NNLS,0.6714448557067346,40.62538484856887
0.9,0,FE calibrated NNLS,0.09669617344802181,5.5966123301959865
0.9,0,Emission-filtered NNLS,0.6962670000746234,101.21011956507574
0.9,1,FE calibrated NNLS,0.09973648967515097,5.5966123301959865
0.9,1,Emission-filtered NNLS,0.6947163407465119,101.21011956507574
0.9,2,FE calibrated NNLS,0.09821770644825067,5.5966123301959865
0.9,2,Emission-filtered NNLS,0.6945833720952603,101.21011956507574
0.9,3,FE calibrated NNLS,0.10057379258473342,5.5966123301959865
0.9,3,Emission-filtered NNLS,0.6958535911096289,101.21011956507574
0.9,4,FE calibrated NNLS,0.09890497340856147,5.5966123301959865
0.9,4,Emission-filtered NNLS,0.6967851940737977,101.21011956507574
0.9,5,FE calibrated NNLS,0.09941342677128373,5.5966123301959865
0.9,5,Emission-filtered NNLS,0.6956908639193587,101.21011956507574
0.97,0,FE calibrated NNLS,0.09867326736830648,5.5966123301959865
0.97,0,Emission-filtered NNLS,0.7048845311798335,336.8696981598329
0.97,1,FE calibrated NNLS,0.09999711297773284,5.5966123301959865
0.97,1,Emission-filtered NNLS,0.7047323861313779,336.8696981598329
0.97,2,FE calibrated NNLS,0.10015431174054451,5.5966123301959865
0.97,2,Emission-filtered NNLS,0.7046643483874171,336.8696981598329
0.97,3,FE calibrated NNLS,0.09621443710027683,5.5966123301959865
0.97,3,Emission-filtered NNLS,0.7059790767613159,336.8696981598329
0.97,4,FE calibrated NNLS,0.0975599744961765,5.5966123301959865
0.97,4,Emission-filtered NNLS,0.704521139682305,336.8696981598329
0.97,5,FE calibrated NNLS,0.09733431408146333,5.5966123301959865
0.97,5,Emission-filtered NNLS,0.7057854196332788,336.8696981598329
0.995,0,FE calibrated NNLS,0.09770951777087115,5.5966123301959865
0.995,0,Emission-filtered NNLS,0.7084976872907058,2020.200504999717
0.995,1,FE calibrated NNLS,0.09873529589337783,5.5966123301959865
0.995,1,Emission-filtered NNLS,0.7083942517443483,2020.200504999717
0.995,2,FE calibrated NNLS,0.0987979356277178,5.5966123301959865
0.995,2,Emission-filtered NNLS,0.708343850802045,2020.200504999717
0.995,3,FE calibrated NNLS,0.09963101438204797,5.5966123301959865
0.995,3,Emission-filtered NNLS,0.7086953232299451,2020.200504999717
0.995,4,FE calibrated NNLS,0.09961147448044501,5.5966123301959865
0.995,4,Emission-filtered NNLS,0.7084821343965713,2020.200504999717
0.995,5,FE calibrated NNLS,0.09797513517155693,5.5966123301959865
0.995,5,Emission-filtered NNLS,0.7084795154724809,2020.200504999717
